text,label
chemicals bottle in school,hazardous
a lot of cooking oil tin from shop,metal
carton from kitchen,recyclable
a lot of peeled cotton swabs from shop,sanitary
printer cartridge in school,ewaste
a lot of cotton swabs in market,sanitary
two wet flower waste from shop,biodegradable
several paint can from kitchen,hazardous
two glass cup in market,glass
miscellaneous waste in market,mixed
two dry paper cup from kitchen,recyclable
a lot of rotten plastic bottle from shop,recyclable
a pack of rotten remote control from office,ewaste
one circuit board found on street,ewaste
a pack of dry combined trash bag after festival,mixed
several rusty pesticide bottle from office,hazardous
one used food packet from kitchen,biodegradable
a pack of tear-stained used bedsheet in school,textile
one broken glass after festival,glass
two used cans from shop,metal
one soiled cooked food scrap in market,biodegradable
one peeled garden leaves in market,compostable
envelope in school,recyclable
old carton found on street,recyclable
several old clothes found on street,textile
a lot of rusty vegetable peels after festival,biodegradable
a lot of wet glass bottle found on street,glass
a pack of remote control in school,ewaste
a pack of rusty torn saree found on street,textile
grass clippings from shop mixed with paper,compostable
two broken cooked food scrap in market,biodegradable
torn saree in market,textile
several used paper cup found on street,recyclable
a lot of coconut husk found on street,biodegradable
several leftover dal in school,biodegradable
two crumpled carton from office,recyclable
crumpled old clothes found on street,textile
soiled earphones after festival,ewaste
several dry plastic bottle from shop,recyclable
a lot of paper cup after festival,recyclable
several plastic container from shop mixed with plastic,recyclable
a pack of household mixed waste after festival mixed with paper,mixed
soda can in school,metal
crumpled used diaper after festival,sanitary
two rotten cardboard box from kitchen,recyclable
two rotten rotten mango from kitchen,biodegradable
a lot of soiled aluminium foil in school,metal
several keyboard from kitchen,ewaste
a lot of wet plastic bottle after festival,recyclable
a lot of glass cup in school,glass
a pack of used cans in market,metal
used metal scrap from office,metal
several used paper packet from shop,recyclable
several envelope in market,recyclable
a pack of old laptop in school,ewaste
a pack of expired medicine after festival,hazardous
several soiled newspaper from kitchen,recyclable
two used envelope in market,recyclable
several wet hard disk in school,ewaste
broken used food packet found on street,biodegradable
a pack of chemicals bottle in market,hazardous
a pack of soiled household mixed waste after festival,mixed
a lot of plastic bottle in school,recyclable
a lot of tear-stained paper packet found on street mixed with paper,recyclable
a pack of used rotten mango in school,biodegradable
a lot of rotten paper packet from kitchen,recyclable
several magazine from office,recyclable
two broken hard disk from office,ewaste
one worn T-shirt from kitchen,textile
empty used bedsheet in school,textile
a pack of leftover dal from shop,biodegradable
a lot of broken paper packet from shop,recyclable
glass jar in market,glass
glass bottle in market,glass
several rusty aluminium foil from office,metal
a pack of used diaper from office,sanitary
several used bedsheet from kitchen,textile
one tampon found on street,sanitary
one wet rotten mango found on street,biodegradable
one tear-stained plastic bottle in school mixed with household mixed waste,recyclable
a lot of used paper cup in school,recyclable
one used paper cup in school,recyclable
broken glass after festival,glass
one shoe sole in market,textile
a lot of broken street sweepings in school,mixed
several rusty fruit waste from shop,biodegradable
one empty wipes from shop,sanitary
a pack of flower waste from office mixed with paper,biodegradable
two used carton from kitchen,recyclable
several tampon after festival,sanitary
several glass cup from shop,glass
two crumpled newspaper in market mixed with old laptop,recyclable
two rusty grass clippings in market,compostable
several combined trash bag after festival,mixed
a lot of rotten cans from kitchen,metal
two peeled glass jar from shop,glass
broken envelope found on street,recyclable
several coconut husk in school,biodegradable
a pack of rusty carton in school,recyclable
a pack of dry leftover dal from kitchen,biodegradable
two glass bottle in school,glass
a lot of carton in market mixed with cotton swabs,recyclable
several crumpled cardboard box from kitchen,recyclable
one wet newspaper from shop,recyclable
two rotten mango found on street,biodegradable
a lot of acid bottle after festival,hazardous
a lot of used food packet after festival,biodegradable
one crumpled earphones from shop,ewaste
several crumpled paper bag from kitchen,recyclable
one envelope in school,recyclable
leftover dal found on street,biodegradable
a lot of sanitary pad in school,sanitary
several wet used food packet found on street,biodegradable
a pack of peeled combined trash bag from shop,mixed
rusty carton from kitchen,recyclable
a pack of magazine found on street,recyclable
one thermometer (mercury) found on street,hazardous
torn saree in school,textile
several rusty glass cup found on street,glass
used miscellaneous waste from kitchen,mixed
two printer cartridge found on street,ewaste
crumpled leftover rice in market,biodegradable
a pack of banana peel from shop,biodegradable
one plastic container from kitchen,recyclable
a pack of glass cup found on street,glass
a lot of aluminium foil after festival,metal
glass bottle after festival,glass
two cotton swabs after festival,sanitary
a lot of rusty used diaper in school,sanitary
a lot of fruit waste from office,biodegradable
a pack of dry combined trash bag in market,mixed
several combined trash bag in market,mixed
a lot of crumpled banana peel from office mixed with circuit board,biodegradable
several peeled cooked food scrap found on street,biodegradable
one soiled rotten mango from shop,biodegradable
broken leftover rice found on street,biodegradable
a lot of paper bag in market,recyclable
two leftover rice from kitchen mixed with sanitary pad,biodegradable
two banana peel from kitchen mixed with cotton swabs,biodegradable
a lot of tear-stained paper cup after festival,recyclable
a pack of cloth pieces from kitchen,textile
one tear-stained plastic container found on street,recyclable
a lot of carton from shop,recyclable
a pack of rotten tampon found on street,sanitary
a lot of broken glass from kitchen,glass
a lot of pickle jar from kitchen,glass
two carton in market,recyclable
a pack of empty leftover dal in school,biodegradable
one glass cup found on street mixed with paper,glass
soda can from office,metal
one paper cup after festival,recyclable
a lot of rusty leftover rice from office,biodegradable
one shoe sole after festival,textile
soda can in school,metal
soda can in school,metal
two worn T-shirt found on street,textile
a pack of empty glass jar in market,glass
two wet compostable bag from office,compostable
a lot of used food packet in market,biodegradable
one dry newspaper after festival,recyclable
several old leftover dal from shop,biodegradable
one aluminium foil from shop,metal
soiled household mixed waste from office,mixed
old clothes from shop,textile
a pack of expired medicine found on street,hazardous
a pack of soda can after festival,metal
a pack of cardboard box from office,recyclable
a pack of cardboard box after festival mixed with street sweepings,recyclable
a lot of used food packet in market,biodegradable
one paper bag found on street,recyclable
several rotten paper bag found on street,recyclable
two crumpled glass cup after festival,glass
soiled old laptop from office,ewaste
several torn saree after festival,textile
a lot of broken cardboard box from kitchen,recyclable
one carton in market,recyclable
one rotten wipes from shop mixed with paper,sanitary
a pack of paper packet found on street mixed with leftover dal,recyclable
a pack of household mixed waste from shop mixed with expired medicine,mixed
a pack of old cotton swabs in school,sanitary
dry pickle jar after festival,glass
crumpled pickle jar from shop,glass
several glass cup after festival,glass
rusty envelope after festival,recyclable
one rotten street sweepings in school,mixed
one pickle jar from shop,glass
a pack of paper cup from office,recyclable
a lot of crumpled cotton swabs in school,sanitary
a pack of cans after festival,metal
a lot of magazine from kitchen,recyclable
several rusty cooked food scrap from shop,biodegradable
several empty needle syringe in market,hazardous
one pickle jar from shop,glass
several compostable bag in school,compostable
a pack of sanitary pad found on street,sanitary
one glass cup found on street,glass
grass clippings from office,compostable
one dry paper cup from shop,recyclable
a pack of crumpled glass cup found on street,glass
two tear-stained street sweepings from kitchen,mixed
two egg shell from office,compostable
one hard disk from kitchen,ewaste
a pack of tear-stained fruit waste found on street,biodegradable
broken fruit waste after festival,biodegradable
one old needle syringe after festival,hazardous
a lot of earphones from shop mixed with paper,ewaste
two used glass jar from office,glass
mobile battery from kitchen,ewaste
tin box found on street,metal
several wet broken charger after festival,ewaste
a pack of dry paper packet in market mixed with paper,recyclable
a lot of cooked food scrap found on street,biodegradable
one rotten keyboard in market,ewaste
a lot of empty chemicals bottle in market,hazardous
a pack of peeled pickle jar in school,glass
one tear-stained leftover dal in market,biodegradable
a lot of leftover rice from kitchen,biodegradable
a lot of combined trash bag found on street,mixed
two rusty circuit board from shop,ewaste
a pack of cans after festival,metal
a lot of rotten wipes from kitchen,sanitary
used glass jar in market,glass
a lot of plastic bottle from office,recyclable
several broken glass from office,glass
one printer cartridge in market,ewaste
a pack of wipes in market,sanitary
one tea leaves found on street,biodegradable
several combined trash bag after festival,mixed
several soiled paper cup in school mixed with plastic,recyclable
two magazine in market,recyclable
a lot of old laptop from shop,ewaste
a lot of magazine found on street,recyclable
several old mobile phone from office,ewaste
two paper cup in school,recyclable
a lot of used old laptop after festival mixed with cans,ewaste
several rotten mango in market,biodegradable
two soiled soda can from shop,metal
one mobile battery from shop,ewaste
wet miscellaneous waste from office,mixed
one carton in market,recyclable
broken glass cup in school,glass
a pack of cloth pieces found on street,textile
a pack of acid bottle from office,hazardous
a lot of paper packet from kitchen mixed with cotton swabs,recyclable
one pesticide bottle in school,hazardous
a pack of tear-stained flower waste from shop mixed with plastic,biodegradable
one used battery after festival,hazardous
several newspaper from kitchen,recyclable
rotten envelope from shop,recyclable
a pack of dry sanitary pad in school,sanitary
a lot of broken glass from shop,glass
a lot of coffee grounds from office,compostable
a pack of circuit board found on street,ewaste
two banana peel in market,biodegradable
aluminium foil after festival,metal
old cooked food scrap after festival,biodegradable
miscellaneous waste from shop,mixed
two cow dung from office,compostable
two wet used diaper in market,sanitary
several miscellaneous waste from kitchen,mixed
a lot of tear-stained used bedsheet found on street,textile
envelope after festival,recyclable
several old mobile phone from office,ewaste
two dry banana peel from kitchen,biodegradable
two used printer cartridge from shop,ewaste
a pack of wet cooking oil tin from office,metal
a pack of old clothes found on street,textile
two old rotten mango after festival,biodegradable
rusty cooked food scrap after festival,biodegradable
two fruit waste after festival,biodegradable
a pack of wet newspaper in market,recyclable
one carton from office,recyclable
one paper cup from office,recyclable
two rusty plastic bottle from kitchen,recyclable
two banana peel found on street,biodegradable
two wet vegetable peels in market,biodegradable
several cooking oil tin from kitchen,metal
two rotten mango in market,biodegradable
a lot of used battery from shop,hazardous
a pack of flower waste from shop,biodegradable
a lot of rusty cooking oil tin after festival,metal
several used food packet after festival,biodegradable
one torn saree after festival,textile
one old tea leaves found on street,biodegradable
one pickle jar in market,glass
banana peel in school,biodegradable
several egg shell after festival,compostable
a lot of crumpled old clothes after festival,textile
several peeled pickle jar from shop,glass
one tear-stained paint can from kitchen,hazardous
a lot of tear-stained cloth pieces from shop,textile
old old laptop found on street,ewaste
metal scrap from shop,metal
a pack of envelope from kitchen,recyclable
flower waste found on street,biodegradable
a pack of acid bottle from kitchen,hazardous
wet grass clippings after festival mixed with newspaper,compostable
one wet garden leaves in school,compostable
flower waste found on street,biodegradable
two household mixed waste from shop,mixed
two old mobile phone found on street,ewaste
several plastic container after festival,recyclable
one needle syringe from office,hazardous
several tear-stained old clothes in school,textile
several cardboard box after festival,recyclable
two empty glass jar from kitchen,glass
a pack of peeled newspaper from shop,recyclable
two household mixed waste in school,mixed
a pack of dry used food packet from shop,biodegradable
one broken charger from office,ewaste
two paper packet in market,recyclable
coconut husk in school,biodegradable
peeled plastic container in market,recyclable
several old thermometer (mercury) after festival,hazardous
a lot of rusty broken glass from shop,glass
a lot of plastic bottle from kitchen,recyclable
a pack of used paint can in school,hazardous
a lot of cans from kitchen,metal
a lot of printer cartridge from shop,ewaste
two soiled cans after festival,metal
a pack of tampon in school,sanitary
crumpled pickle jar in school,glass
one empty cans after festival,metal
two dry rotten mango in school,biodegradable
one aluminium foil from shop,metal
several envelope from shop,recyclable
one peeled plastic container after festival,recyclable
a lot of rotten hard disk in school,ewaste
several tampon in school,sanitary
two tear-stained cardboard box from kitchen,recyclable
one old laptop from kitchen,ewaste
a lot of used carton from office,recyclable
several crumpled thermometer (mercury) from kitchen,hazardous
a pack of leftover rice in school,biodegradable
several old clothes from office,textile
rotten fruit waste from office,biodegradable
several newspaper from kitchen,recyclable
a pack of combined trash bag from shop,mixed
two circuit board after festival,ewaste
several empty flower waste from shop,biodegradable
one dry worn T-shirt in school,textile
one coffee grounds in market,compostable
a lot of cooked food scrap in school,biodegradable
a pack of crumpled paper bag in market,recyclable
a pack of peeled cow dung in school,compostable
a lot of plastic bottle from kitchen,recyclable
one needle syringe after festival,hazardous
several used egg shell in market mixed with plastic,compostable
two broken used food packet from kitchen,biodegradable
two tear-stained expired medicine from office,hazardous
two cardboard box from kitchen,recyclable
two cooked food scrap found on street,biodegradable
a lot of broken cooking oil tin from office,metal
crumpled newspaper found on street,recyclable
dry paper bag from office,recyclable
several soiled aluminium foil from shop,metal
two carton found on street,recyclable
rotten mango from shop,biodegradable
two soiled tea leaves found on street,biodegradable
a lot of used leftover dal after festival,biodegradable
a pack of plastic container in school,recyclable
a lot of rusty newspaper from office,recyclable
a pack of tear-stained plastic bottle from office,recyclable
several soiled chemicals bottle in school,hazardous
a lot of rusty coconut husk from office,biodegradable
a pack of tear-stained plastic bottle after festival,recyclable
paper packet from office,recyclable
several rotten newspaper in school,recyclable
a lot of broken cooking oil tin in school,metal
peeled magazine in market,recyclable
used diaper found on street,sanitary
two printer cartridge found on street,ewaste
two rotten mobile battery found on street,ewaste
two rotten rotten mango from kitchen mixed with tampon,biodegradable
a pack of paper cup from shop mixed with paper,recyclable
several expired medicine from shop,hazardous
a lot of used cooked food scrap after festival,biodegradable
dry coffee grounds from office,compostable
one paper cup in school,recyclable
a lot of old clothes in school,textile
one old printer cartridge found on street,ewaste
compostable bag from shop mixed with plastic,compostable
a pack of crumpled paper bag from shop,recyclable
a pack of carton from shop,recyclable
a pack of old broken glass found on street,glass
one tear-stained broken glass from kitchen,glass
two soiled envelope from shop,recyclable
one used grass clippings from kitchen,compostable
two garden leaves found on street,compostable
a pack of broken expired medicine in market,hazardous
glass cup found on street,glass
two rusty paper bag in market,recyclable
two tear-stained coconut husk from kitchen,biodegradable
cooked food scrap in market,biodegradable
a lot of street sweepings from office,mixed
a pack of paper cup in school,recyclable
two old carton from office,recyclable
compostable bag from shop,compostable
a pack of soiled cardboard box found on street,recyclable
several dry hard disk from kitchen,ewaste
a lot of peeled leftover rice after festival,biodegradable
several wet coconut husk from shop mixed with paper,biodegradable
one rusty needle syringe found on street,hazardous
two plastic bottle found on street,recyclable
two glass cup in school,glass
several soiled pesticide bottle in school,hazardous
crumpled printer cartridge from kitchen,ewaste
a pack of tampon in school,sanitary
a pack of rotten mango from kitchen mixed with paper,biodegradable
dry paper bag from shop,recyclable
several paint can from office,hazardous
two empty plastic container from kitchen mixed with flower waste,recyclable
two paper bag from kitchen,recyclable
fruit waste in school,biodegradable
several soiled grass clippings from kitchen,compostable
rusty fruit waste in school mixed with paper,biodegradable
several soiled tea leaves from kitchen,biodegradable
carton after festival,recyclable
two household mixed waste from shop,mixed
several crumpled wipes found on street,sanitary
several used bedsheet in school,textile
a pack of banana peel from shop,biodegradable
broken leftover rice after festival,biodegradable
two soda can from kitchen,metal
several magazine from shop,recyclable
several used egg shell from office,compostable
wet garden leaves after festival,compostable
one rotten mango from shop,biodegradable
two peeled envelope from office mixed with paper,recyclable
two paint can from kitchen,hazardous
several peeled newspaper in market,recyclable
two dry keyboard from office,ewaste
two tear-stained earphones in market,ewaste
two needle syringe in school,hazardous
one flower waste in school,biodegradable
a pack of soiled plastic bottle from kitchen,recyclable
old laptop from kitchen,ewaste
several broken glass found on street,glass
one soda can from shop,metal
several paper bag from office,recyclable
one hard disk from office,ewaste
used sanitary pad from office,sanitary
two old laptop from kitchen,ewaste
one used food packet in market,biodegradable
one rotten mango found on street,biodegradable
one old soda can after festival,metal
several wet keyboard from kitchen,ewaste
a pack of broken mobile battery from shop,ewaste
several old leftover rice in school,biodegradable
a pack of soda can from office,metal
two broken glass from shop,glass
a pack of broken paper cup after festival,recyclable
one plastic bottle from office,recyclable
several soiled chemicals bottle found on street,hazardous
a pack of plastic bottle in school,recyclable
a lot of tea leaves after festival,biodegradable
a lot of crumpled tea leaves from shop,biodegradable
paper cup in school,recyclable
one peeled glass bottle in school mixed with plastic,glass
one dry acid bottle after festival,hazardous
a pack of empty rotten mango from office,biodegradable
two used food packet from kitchen,biodegradable
used torn saree from kitchen,textile
a lot of banana peel in market mixed with paper,biodegradable
several pickle jar from shop,glass
a lot of empty paper bag after festival,recyclable
a lot of used diaper after festival,sanitary
one envelope after festival,recyclable
a pack of wet cardboard box found on street,recyclable
a lot of wet broken glass found on street,glass
several old laptop from shop,ewaste
a lot of tin box from office,metal
one peeled circuit board in school,ewaste
several rotten keyboard found on street,ewaste
a pack of combined trash bag after festival,mixed
a pack of keyboard after festival,ewaste
one tin box from shop,metal
two tea leaves found on street,biodegradable
two broken glass from shop,glass
a pack of egg shell after festival,compostable
a lot of rusty household mixed waste found on street,mixed
several glass jar after festival,glass
one coffee grounds in school mixed with cardboard box,compostable
two used remote control in school,ewaste
a pack of rotten mango from shop,biodegradable
a pack of carton from office,recyclable
cooked food scrap found on street,biodegradable
two tea leaves found on street mixed with paper,biodegradable
a pack of cardboard box after festival,recyclable
a pack of old magazine after festival,recyclable
peeled tea leaves found on street,biodegradable
old pesticide bottle in school,hazardous
several broken aluminium foil from office,metal
a pack of empty street sweepings in school,mixed
a lot of empty magazine from shop,recyclable
two tampon after festival mixed with carton,sanitary
one rotten paper packet from office,recyclable
several rusty magazine from shop,recyclable
a lot of crumpled needle syringe from office,hazardous
rusty plastic bottle from kitchen,recyclable
a lot of used street sweepings in market,mixed
several glass jar found on street,glass
one used broken glass after festival,glass
a pack of mobile battery from kitchen mixed with newspaper,ewaste
two empty cardboard box from office,recyclable
two pickle jar in market,glass
several broken leftover rice found on street,biodegradable
two circuit board in school,ewaste
a pack of metal scrap in market mixed with acid bottle,metal
several cardboard box from kitchen mixed with plastic,recyclable
a pack of wet compostable bag found on street,compostable
two soiled combined trash bag found on street,mixed
several paper cup after festival,recyclable
two wipes in school,sanitary
one rusty leftover dal in school,biodegradable
two peeled paper cup after festival,recyclable
a pack of compostable bag in school,compostable
a pack of pickle jar in market,glass
two wet tea leaves from office mixed with plastic,biodegradable
one broken street sweepings in market,mixed
used food packet from kitchen,biodegradable
several earphones from office,ewaste
two used cardboard box in market,recyclable
expired medicine from shop,hazardous
one shoe sole from kitchen,textile
dry tin box in school,metal
several cloth pieces after festival,textile
one tear-stained hard disk in school,ewaste
several printer cartridge from kitchen,ewaste
one leftover rice from office,biodegradable
newspaper from shop,recyclable
two broken pickle jar from kitchen,glass
a pack of compostable bag after festival,compostable
several miscellaneous waste from office,mixed
rotten pickle jar from kitchen,glass
old cans found on street,metal
a pack of rusty glass jar from office mixed with plastic,glass
several rotten mango in market,biodegradable
one banana peel from kitchen,biodegradable
two rusty cow dung from shop,compostable
a lot of used pickle jar from office,glass
a lot of cardboard box from kitchen,recyclable
several envelope found on street,recyclable
a lot of dry paper packet from kitchen,recyclable
two glass jar after festival,glass
a lot of cardboard box in market,recyclable
several wet cloth pieces from office,textile
a pack of broken glass in school mixed with coffee grounds,glass
several crumpled cooking oil tin in school,metal
old clothes from kitchen,textile
two paper cup from shop,recyclable
several banana peel in market,biodegradable
a pack of paint can found on street,hazardous
one broken egg shell after festival,compostable
a lot of paper packet after festival,recyclable
several used aluminium foil from kitchen,metal
a pack of keyboard from shop,ewaste
one dry cardboard box in market,recyclable
one broken glass in school,glass
soiled tin box in school,metal
several empty paint can after festival,hazardous
compostable bag in market,compostable
one dry solvent jar found on street mixed with plastic,hazardous
glass bottle from office,glass
one carton in market,recyclable
two cooked food scrap after festival,biodegradable
a lot of peeled wine bottle found on street,glass
a lot of crumpled used food packet in market,biodegradable
printer cartridge found on street,ewaste
a lot of dry earphones in school,ewaste
one wet soda can from kitchen,metal
several tin box from office,metal
one leftover rice in school,biodegradable
rusty vegetable peels from shop,biodegradable
a pack of paper cup in school,recyclable
a pack of crumpled used diaper in school,sanitary
pesticide bottle in market,hazardous
a lot of envelope found on street,recyclable
a lot of tear-stained flower waste in market,biodegradable
several hard disk in school mixed with egg shell,ewaste
a pack of empty broken charger after festival,ewaste
a pack of dry glass jar after festival,glass
a lot of soiled envelope from shop,recyclable
a pack of used food packet from kitchen,biodegradable
several peeled rotten mango after festival,biodegradable
two plastic container from office,recyclable
one plastic container from office,recyclable
a lot of wet leftover dal in school mixed with soda can,biodegradable
several tear-stained keyboard in market,ewaste
broken combined trash bag in market,mixed
used torn saree from kitchen mixed with plastic,textile
a lot of old clothes from kitchen,textile
two leftover dal found on street,biodegradable
a lot of broken glass from office,glass
a lot of broken cooked food scrap found on street,biodegradable
a pack of crumpled magazine in school,recyclable
several empty leftover rice in school,biodegradable
one crumpled mobile battery after festival,ewaste
one cardboard box from office,recyclable
dry paper cup from shop,recyclable
a lot of broken old laptop in market mixed with cloth pieces,ewaste
one rusty grass clippings after festival,compostable
a pack of tear-stained leftover dal in school,biodegradable
several envelope after festival,recyclable
several broken magazine in market,recyclable
a pack of wet egg shell in market,compostable
one crumpled paper packet found on street,recyclable
one glass bottle after festival,glass
a pack of broken tea leaves in school,biodegradable
one plastic bottle from office,recyclable
several rotten mango in market mixed with paper packet,biodegradable
two cotton swabs from kitchen,sanitary
used bedsheet from office,textile
a pack of circuit board from kitchen,ewaste
one vegetable peels after festival,biodegradable
several wipes in school,sanitary
empty flower waste from shop,biodegradable
a lot of old mobile battery in market,ewaste
a lot of cow dung from office,compostable
a lot of paper bag in school,recyclable
several rusty broken glass after festival,glass
a pack of plastic container in school,recyclable
one torn saree in market,textile
dry paper bag from office,recyclable
a pack of used glass cup after festival,glass
wet flower waste from office,biodegradable
old clothes from shop,textile
a lot of pesticide bottle from kitchen,hazardous
a pack of crumpled household mixed waste found on street,mixed
a pack of pickle jar from kitchen,glass
two dry plastic container from office,recyclable
several rotten earphones in school,ewaste
a pack of printer cartridge in school,ewaste
several glass bottle in school,glass
a pack of household mixed waste found on street mixed with plastic,mixed
a pack of coffee grounds found on street,compostable
one tear-stained carton from office,recyclable
one soiled leftover rice found on street,biodegradable
two street sweepings after festival,mixed
two broken charger from shop,ewaste
one metal scrap after festival,metal
several printer cartridge from office,ewaste
a pack of used vegetable peels from shop,biodegradable
coconut husk from shop,biodegradable
a pack of paper cup from shop,recyclable
two soiled cooking oil tin in school,metal
several remote control from kitchen,ewaste
empty printer cartridge from kitchen,ewaste
one old glass bottle in market,glass
two empty sanitary pad from office,sanitary
a pack of cans in school,metal
several dry envelope from kitchen,recyclable
one rotten mango after festival,biodegradable
a pack of leftover rice in school,biodegradable
tear-stained newspaper after festival,recyclable
a pack of wet banana peel found on street,biodegradable
a lot of old mobile phone found on street,ewaste
broken charger in market,ewaste
a lot of tear-stained old mobile phone from kitchen,ewaste
rotten paint can from office,hazardous
one paper bag in school,recyclable
several tear-stained solvent jar in school,hazardous
a pack of household mixed waste from shop,mixed
several coconut husk from office mixed with plastic,biodegradable
several dry paper bag after festival,recyclable
several tear-stained aluminium foil found on street,metal
one tear-stained aluminium foil from kitchen,metal
household mixed waste after festival,mixed
two tear-stained cans in school,metal
broken sanitary pad after festival,sanitary
circuit board after festival,ewaste
two rotten mango from office,biodegradable
a pack of street sweepings from kitchen,mixed
two magazine from kitchen,recyclable
one broken charger after festival,ewaste
a lot of tear-stained solvent jar found on street mixed with sanitary pad,hazardous
broken cardboard box found on street,recyclable
one paper cup in school,recyclable
a lot of old plastic container after festival mixed with paper,recyclable
several paper packet from kitchen,recyclable
one empty magazine from office,recyclable
two combined trash bag in school,mixed
one wet wipes from kitchen,sanitary
several egg shell from kitchen,compostable
several cardboard box in school,recyclable
several pickle jar in market,glass
a pack of empty banana peel found on street,biodegradable
one empty wipes after festival,sanitary
a lot of empty broken glass found on street,glass
a pack of torn saree in school,textile
several miscellaneous waste in school,mixed
a pack of cooked food scrap found on street mixed with tampon,biodegradable
two paper bag found on street,recyclable
one crumpled used diaper found on street,sanitary
two leftover dal from office,biodegradable
one soda can found on street,metal
several rotten used food packet from office,biodegradable
several glass bottle found on street,glass
a lot of flower waste from shop,biodegradable
two shoe sole after festival,textile
two used envelope from kitchen,recyclable
metal scrap from office,metal
leftover dal in market,biodegradable
one tear-stained cooking oil tin in market,metal
a pack of banana peel found on street,biodegradable
broken rotten mango from office,biodegradable
two wet used bedsheet from kitchen,textile
a pack of dry aluminium foil from office,metal
two needle syringe found on street,hazardous
aluminium foil from office,metal
several old worn T-shirt from office,textile
a pack of newspaper from kitchen,recyclable
a pack of soiled plastic container from shop,recyclable
a pack of rusty remote control found on street,ewaste
two newspaper after festival,recyclable
one rotten wipes found on street,sanitary
wet tin box from shop,metal
a lot of soiled thermometer (mercury) after festival,hazardous
several empty old laptop in market,ewaste
two rusty leftover dal in market,biodegradable
one old magazine in market,recyclable
two wet coconut husk in market,biodegradable
